palavra,n_vogais,vogais_unicas,letra_0,letra_1,letra_2,letra_3,letra_4
bisao,3,3,b,i,s,a,o
blefa,2,2,b,l,e,f,a
blefe,2,1,b,l,e,f,e
blefo,2,2,b,l,e,f,o
bloco,2,1,b,l,o,c,o
blusa,2,2,b,l,u,s,a
boate,3,3,b,o,a,t,e
boato,3,2,b,o,a,t,o
bobas,2,2,b,o,b,a,s
bobea,3,3,b,o,b,e,a
bobos,2,1,b,o,b,o,s
bocal,2,2,b,o,c,a,l
bocas,2,2,b,o,c,a,s
bocha,2,2,b,o,c,h,a
bodas,2,2,b,o,d,a,s
bodes,2,2,b,o,d,e,s
boiai,4,3,b,o,i,a,i
boiar,3,3,b,o,i,a,r
boiei,4,3,b,o,i,e,i
boina,3,3,b,o,i,n,a
boiou,4,3,b,o,i,o,u
bolai,3,3,b,o,l,a,i
bolam,2,2,b,o,l,a,m
bolar,2,2,b,o,l,a,r
bolas,2,2,b,o,l,a,s
boldo,2,1,b,o,l,d,o
bolei,3,3,b,o,l,e,i
bolem,2,2,b,o,l,e,m
boles,2,2,b,o,l,e,s
bolha,2,2,b,o,l,h,a
bolos,2,1,b,o,l,o,s
bolou,3,2,b,o,l,o,u
bolsa,2,2,b,o,l,s,a
bolso,2,1,b,o,l,s,o
bolao,3,2,b,o,l,a,o
bomba,2,2,b,o,m,b,a
bonde,2,2,b,o,n,d,e
bones,2,2,b,o,n,e,s
borda,2,2,b,o,r,d,a
borde,2,2,b,o,r,d,e
bordo,2,1,b,o,r,d,o
borra,2,2,b,o,r,r,a
borre,2,2,b,o,r,r,e
borro,2,1,b,o,r,r,o
bossa,2,2,b,o,s,s,a
bosta,2,2,b,o,s,t,a
botai,3,3,b,o,t,a,i
botam,2,2,b,o,t,a,m
botar,2,2,b,o,t,a,r
botas,2,2,b,o,t,a,s
botei,3,3,b,o,t,e,i
botem,2,2,b,o,t,e,m
botes,2,2,b,o,t,e,s
botou,3,2,b,o,t,o,u
botao,3,2,b,o,t,a,o
boxea,3,3,b,o,x,e,a
braba,2,1,b,r,a,b,a
brabo,2,2,b,r,a,b,o
brada,2,1,b,r,a,d,a
brade,2,2,b,r,a,d,e
brado,2,2,b,r,a,d,o
braga,2,1,b,r,a,g,a
brama,2,1,b,r,a,m,a
brame,2,2,b,r,a,m,e
brami,2,2,b,r,a,m,i
bramo,2,2,b,r,a,m,o
brasa,2,1,b,r,a,s,a
brava,2,1,b,r,a,v,a
bravo,2,2,b,r,a,v,o
braca,2,1,b,r,a,c,a
braco,2,2,b,r,a,c,o
breca,2,2,b,r,e,c,a
breco,2,2,b,r,e,c,o
brejo,2,2,b,r,e,j,o
breta,2,2,b,r,e,t,a
breve,2,1,b,r,e,v,e
brida,2,2,b,r,i,d,a
briga,2,2,b,r,i,g,a
brigo,2,2,b,r,i,g,o
brins,1,1,b,r,i,n,s
brios,2,2,b,r,i,o,s
brisa,2,2,b,r,i,s,a
brita,2,2,b,r,i,t,a
brito,2,2,b,r,i,t,o
broas,2,2,b,r,o,a,s
broca,2,2,b,r,o,c,a
broco,2,1,b,r,o,c,o
bromo,2,1,b,r,o,m,o
brota,2,2,b,r,o,t,a
brote,2,2,b,r,o,t,e
broto,2,1,b,r,o,t,o
bruma,2,2,b,r,u,m,a
bruta,2,2,b,r,u,t,a
bruto,2,2,b,r,u,t,o
bruxa,2,2,b,r,u,x,a
bruxo,2,2,b,r,u,x,o
bucal,2,2,b,u,c,a,l
bucha,2,2,b,u,c,h,a
bucho,2,2,b,u,c,h,o
bueno,3,3,b,u,e,n,o
bufai,3,3,b,u,f,a,i
bufam,2,2,b,u,f,a,m
bufar,2,2,b,u,f,a,r
bufas,2,2,b,u,f,a,s
bufei,3,3,b,u,f,e,i
bufem,2,2,b,u,f,e,m
bufes,2,2,b,u,f,e,s
bufou,3,2,b,u,f,o,u
bufao,3,3,b,u,f,a,o
bujao,3,3,b,u,j,a,o
bulam,2,2,b,u,l,a,m
bulas,2,2,b,u,l,a,s
bulbo,2,2,b,u,l,b,o
bules,2,2,b,u,l,e,s
bulia,3,3,b,u,l,i,a
bulir,2,2,b,u,l,i,r
bulis,2,2,b,u,l,i,s
buliu,3,2,b,u,l,i,u
bumbo,2,2,b,u,m,b,o
bunda,2,2,b,u,n,d,a
bunde,2,2,b,u,n,d,e
bundo,2,2,b,u,n,d,o
burgo,2,2,b,u,r,g,o
burla,2,2,b,u,r,l,a
burle,2,2,b,u,r,l,e
burlo,2,2,b,u,r,l,o
burra,2,2,b,u,r,r,a
burro,2,2,b,u,r,r,o
busca,2,2,b,u,s,c,a
busco,2,2,b,u,s,c,o
busto,2,2,b,u,s,t,o
buxos,2,2,b,u,x,o,s
bario,3,3,b,a,r,i,o
bilis,2,1,b,i,l,i,s
boiam,3,3,b,o,i,a,m
boias,3,3,b,o,i,a,s
boiem,3,3,b,o,i,e,m
boies,3,3,b,o,i,e,s
boers,2,2,b,o,e,r,s
bonus,2,2,b,o,n,u,s
buzio,3,3,b,u,z,i,o
cabei,3,3,c,a,b,e,i
cabem,2,2,c,a,b,e,m
caber,2,2,c,a,b,e,r
cabes,2,2,c,a,b,e,s
cabia,3,2,c,a,b,i,a
cabos,2,2,c,a,b,o,s
cabra,2,1,c,a,b,r,a
cacas,2,1,c,a,c,a,s
cacei,3,3,c,a,c,e,i
cacem,2,2,c,a,c,e,m
caces,2,2,c,a,c,e,s
cacho,2,2,c,a,c,h,o
cacos,2,2,c,a,c,o,s
cacto,2,2,c,a,c,t,o
cafes,2,2,c,a,f,e,s
cagai,3,2,c,a,g,a,i
cagam,2,1,c,a,g,a,m
cagar,2,1,c,a,g,a,r
cagas,2,1,c,a,g,a,s
cagou,3,3,c,a,g,o,u
cague,3,3,c,a,g,u,e
caiai,4,2,c,a,i,a,i
caiam,3,2,c,a,i,a,m
caiar,3,2,c,a,i,a,r
caias,3,2,c,a,i,a,s
caiba,3,2,c,a,i,b,a
caibo,3,3,c,a,i,b,o
caido,3,3,c,a,i,d,o
caiei,4,3,c,a,i,e,i
caiem,3,3,c,a,i,e,m
caies,3,3,c,a,i,e,s
caiou,4,4,c,a,i,o,u
cairo,3,3,c,a,i,r,o
caira,3,2,c,a,i,r,a
caixa,3,2,c,a,i,x,a
calai,3,2,c,a,l,a,i
calam,2,1,c,a,l,a,m
calar,2,1,c,a,l,a,r
calas,2,1,c,a,l,a,s
calca,2,1,c,a,l,c,a
calce,2,2,c,a,l,c,e
calco,2,2,c,a,l,c,o
calda,2,1,c,a,l,d,a
caldo,2,2,c,a,l,d,o
calei,3,3,c,a,l,e,i
calem,2,2,c,a,l,e,m
cales,2,2,c,a,l,e,s
calha,2,1,c,a,l,h,a
calhe,2,2,c,a,l,h,e
calho,2,2,c,a,l,h,o
calma,2,1,c,a,l,m,a
calmo,2,2,c,a,l,m,o
calor,2,2,c,a,l,o,r
calos,2,2,c,a,l,o,s
calou,3,3,c,a,l,o,u
calva,2,1,c,a,l,v,a
calvo,2,2,c,a,l,v,o
camas,2,1,c,a,m,a,s
campo,2,2,c,a,m,p,o
canal,2,1,c,a,n,a,l
canas,2,1,c,a,n,a,s
canga,2,1,c,a,n,g,a
canja,2,1,c,a,n,j,a
canoa,3,2,c,a,n,o,a
canos,2,2,c,a,n,o,s
cansa,2,1,c,a,n,s,a
canse,2,2,c,a,n,s,e
canso,2,2,c,a,n,s,o
canta,2,1,c,a,n,t,a
cante,2,2,c,a,n,t,e
canto,2,2,c,a,n,t,o
capai,3,2,c,a,p,a,i
capam,2,1,c,a,p,a,m
capar,2,1,c,a,p,a,r
capas,2,1,c,a,p,a,s
capaz,2,1,c,a,p,a,z
capei,3,3,c,a,p,e,i
capem,2,2,c,a,p,e,m
capes,2,2,c,a,p,e,s
capim,2,2,c,a,p,i,m
capou,3,3,c,a,p,o,u
capta,2,1,c,a,p,t,a
capte,2,2,c,a,p,t,e
capto,2,2,c,a,p,t,o
caput,2,2,c,a,p,u,t
capuz,2,2,c,a,p,u,z
caras,2,1,c,a,r,a,s
cardo,2,2,c,a,r,d,o
carga,2,1,c,a,r,g,a
cargo,2,2,c,a,r,g,o
carmo,2,2,c,a,r,m,o
carne,2,2,c,a,r,n,e
caros,2,2,c,a,r,o,s
carpa,2,1,c,a,r,p,a
carpe,2,2,c,a,r,p,e
carpi,2,2,c,a,r,p,i
carro,2,2,c,a,r,r,o
carta,2,1,c,a,r,t,a
carao,3,2,c,a,r,a,o
casai,3,2,c,a,s,a,i
casal,2,1,c,a,s,a,l
casam,2,1,c,a,s,a,m
casar,2,1,c,a,s,a,r
casas,2,1,c,a,s,a,s
casca,2,1,c,a,s,c,a
casco,2,2,c,a,s,c,o
casei,3,3,c,a,s,e,i
casem,2,2,c,a,s,e,m
cases,2,2,c,a,s,e,s
casos,2,2,c,a,s,o,s
casou,3,3,c,a,s,o,u
caspa,2,1,c,a,s,p,a
cassa,2,1,c,a,s,s,a
casse,2,2,c,a,s,s,e
casso,2,2,c,a,s,s,o
casta,2,1,c,a,s,t,a
casto,2,2,c,a,s,t,o
catai,3,2,c,a,t,a,i
catam,2,1,c,a,t,a,m
catar,2,1,c,a,t,a,r
catas,2,1,c,a,t,a,s
catei,3,3,c,a,t,e,i
catem,2,2,c,a,t,e,m
cates,2,2,c,a,t,e,s
catou,3,3,c,a,t,o,u
catre,2,2,c,a,t,r,e
cauda,3,2,c,a,u,d,a
caule,3,3,c,a,u,l,e
causa,3,2,c,a,u,s,a
cause,3,3,c,a,u,s,e
causo,3,3,c,a,u,s,o
cauta,3,2,c,a,u,t,a
cauto,3,3,c,a,u,t,o
cavai,3,2,c,a,v,a,i
cavam,2,1,c,a,v,a,m
cavar,2,1,c,a,v,a,r
cavas,2,1,c,a,v,a,s
cavei,3,3,c,a,v,e,i
cavem,2,2,c,a,v,e,m
caves,2,2,c,a,v,e,s
cavia,3,2,c,a,v,i,a
cavie,3,3,c,a,v,i,e
cavio,3,3,c,a,v,i,o
cavou,3,3,c,a,v,o,u
cacai,3,2,c,a,c,a,i
cacam,2,1,c,a,c,a,m
cacar,2,1,c,a,c,a,r
cacoa,3,2,c,a,c,o,a
cacoe,3,3,c,a,c,o,e
cacou,3,3,c,a,c,o,u
cacao,3,2,c,a,c,a,o
cacoo,3,2,c,a,c,o,o
caida,3,2,c,a,i,d,a
caimo,3,3,c,a,i,m,o
ceado,3,3,c,e,a,d,o
ceais,3,3,c,e,a,i,s
ceamo,3,3,c,e,a,m,o
ceava,3,2,c,e,a,v,a
cedam,2,2,c,e,d,a,m
cedas,2,2,c,e,d,a,s
cedei,3,2,c,e,d,e,i
cedem,2,1,c,e,d,e,m
ceder,2,1,c,e,d,e,r
cedes,2,1,c,e,d,e,s
cedeu,3,2,c,e,d,e,u
cedia,3,3,c,e,d,i,a
cedro,2,2,c,e,d,r,o
ceeis,3,2,c,e,e,i,s
ceemo,3,2,c,e,e,m,o
cegai,3,3,c,e,g,a,i
cegam,2,2,c,e,g,a,m
cegar,2,2,c,e,g,a,r
cegas,2,2,c,e,g,a,s
cegos,2,2,c,e,g,o,s
cegou,3,3,c,e,g,o,u
cegue,3,2,c,e,g,u,e
ceiam,3,3,c,e,i,a,m
ceias,3,3,c,e,i,a,s
ceiem,3,2,c,e,i,e,m
ceies,3,2,c,e,i,e,s
ceifa,3,3,c,e,i,f,a
ceife,3,2,c,e,i,f,e
ceifo,3,3,c,e,i,f,o
celas,2,2,c,e,l,a,s
celta,2,2,c,e,l,t,a
cenas,2,2,c,e,n,a,s
censo,2,2,c,e,n,s,o
cento,2,2,c,e,n,t,o
ceras,2,2,c,e,r,a,s
cerca,2,2,c,e,r,c,a
cerco,2,2,c,e,r,c,o
cerda,2,2,c,e,r,d,a
cerne,2,1,c,e,r,n,e
cerni,2,2,c,e,r,n,i
cerol,2,2,c,e,r,o,l
cerra,2,2,c,e,r,r,a
cerre,2,1,c,e,r,r,e
cerro,2,2,c,e,r,r,o
certa,2,2,c,e,r,t,a
certo,2,2,c,e,r,t,o
cervo,2,2,c,e,r,v,o
cessa,2,2,c,e,s,s,a
cesse,2,1,c,e,s,s,e
cesso,2,2,c,e,s,s,o
cesta,2,2,c,e,s,t,a
cesto,2,2,c,e,s,t,o
cetim,2,2,c,e,t,i,m
cetro,2,2,c,e,t,r,o
chaga,2,1,c,h,a,g,a
chago,2,2,c,h,a,g,o
chale,2,2,c,h,a,l,e
chama,2,1,c,h,a,m,a
chame,2,2,c,h,a,m,e
chamo,2,2,c,h,a,m,o
chapa,2,1,c,h,a,p,a
chata,2,1,c,h,a,t,a
chato,2,2,c,h,a,t,o
chave,2,2,c,h,a,v,e
checa,2,2,c,h,e,c,a
checo,2,2,c,h,e,c,o
chefa,2,2,c,h,e,f,a
chefe,2,1,c,h,e,f,e
chega,2,2,c,h,e,g,a
chego,2,2,c,h,e,g,o
cheia,3,3,c,h,e,i,a
cheio,3,3,c,h,e,i,o
chiai,3,2,c,h,i,a,i
chiam,2,2,c,h,i,a,m
chiar,2,2,c,h,i,a,r
chias,2,2,c,h,i,a,s
chiei,3,2,c,h,i,e,i
chiem,2,2,c,h,i,e,m
chies,2,2,c,h,i,e,s
chiou,3,3,c,h,i,o,u
choca,2,2,c,h,o,c,a
choco,2,1,c,h,o,c,o
chora,2,2,c,h,o,r,a
chore,2,2,c,h,o,r,e
choro,2,1,c,h,o,r,o
chova,2,2,c,h,o,v,a
chove,2,2,c,h,o,v,e
chovi,2,2,c,h,o,v,i
chovo,2,1,c,h,o,v,o
chupa,2,2,c,h,u,p,a
chupe,2,2,c,h,u,p,e
chupo,2,2,c,h,u,p,o
chuta,2,2,c,h,u,t,a
chute,2,2,c,h,u,t,e
chuto,2,2,c,h,u,t,o
chuva,2,2,c,h,u,v,a
ciclo,2,2,c,i,c,l,o
cidra,2,2,c,i,d,r,a
cifra,2,2,c,i,f,r,a
cifre,2,2,c,i,f,r,e
cifro,2,2,c,i,f,r,o
cinco,2,2,c,i,n,c,o
cinda,2,2,c,i,n,d,a
cinde,2,2,c,i,n,d,e
cindi,2,1,c,i,n,d,i
cindo,2,2,c,i,n,d,o
cinge,2,2,c,i,n,g,e
cingi,2,1,c,i,n,g,i
cinja,2,2,c,i,n,j,a
cinjo,2,2,c,i,n,j,o
cinta,2,2,c,i,n,t,a
cinto,2,2,c,i,n,t,o
cinza,2,2,c,i,n,z,a
ciosa,3,3,c,i,o,s,a
cioso,3,2,c,i,o,s,o
cipos,2,2,c,i,p,o,s
circo,2,2,c,i,r,c,o
cisca,2,2,c,i,s,c,a
cisco,2,2,c,i,s,c,o
cisma,2,2,c,i,s,m,a
cisme,2,2,c,i,s,m,e
cismo,2,2,c,i,s,m,o
cisne,2,2,c,i,s,n,e
cisao,3,3,c,i,s,a,o
citai,3,2,c,i,t,a,i
citam,2,2,c,i,t,a,m
citar,2,2,c,i,t,a,r
citas,2,2,c,i,t,a,s
citei,3,2,c,i,t,e,i
citem,2,2,c,i,t,e,m
cites,2,2,c,i,t,e,s
citou,3,3,c,i,t,o,u
civil,2,1,c,i,v,i,l
civis,2,1,c,i,v,i,s
ciume,3,3,c,i,u,m,e
clama,2,1,c,l,a,m,a
clame,2,2,c,l,a,m,e
clamo,2,2,c,l,a,m,o
clara,2,1,c,l,a,r,a
claro,2,2,c,l,a,r,o
clava,2,1,c,l,a,v,a
clero,2,2,c,l,e,r,o
clima,2,2,c,l,i,m,a
clips,1,1,c,l,i,p,s
clone,2,2,c,l,o,n,e
cloro,2,1,c,l,o,r,o
clube,2,2,c,l,u,b,e
coada,3,2,c,o,a,d,a
coado,3,2,c,o,a,d,o
coagi,3,3,c,o,a,g,i
coais,3,3,c,o,a,i,s
coaja,3,2,c,o,a,j,a
coajo,3,2,c,o,a,j,o
coamo,3,2,c,o,a,m,o
coara,3,2,c,o,a,r,a
coava,3,2,c,o,a,v,a
coaxa,3,2,c,o,a,x,a
coaxe,3,3,c,o,a,x,e
coaxo,3,2,c,o,a,x,o
cobra,2,2,c,o,b,r,a
cobre,2,2,c,o,b,r,e
cobri,2,2,c,o,b,r,i
cobro,2,1,c,o,b,r,o
cocal,2,2,c,o,c,a,l
cocei,3,3,c,o,c,e,i
cocem,2,2,c,o,c,e,m
coces,2,2,c,o,c,e,s
cocho,2,1,c,o,c,h,o
cocos,2,1,c,o,c,o,s
coege,3,2,c,o,e,g,e
coeis,3,3,c,o,e,i,s
coesa,3,3,c,o,e,s,a
coeso,3,2,c,o,e,s,o
coeva,3,3,c,o,e,v,a
coevo,3,2,c,o,e,v,o
cofre,2,2,c,o,f,r,e
coibi,3,2,c,o,i,b,i
coice,3,3,c,o,i,c,e
coifa,3,3,c,o,i,f,a
coisa,3,3,c,o,i,s,a
coito,3,2,c,o,i,t,o
colai,3,3,c,o,l,a,i
colam,2,2,c,o,l,a,m
colar,2,2,c,o,l,a,r
colas,2,2,c,o,l,a,s
colei,3,3,c,o,l,e,i
colem,2,2,c,o,l,e,m
coles,2,2,c,o,l,e,s
colha,2,2,c,o,l,h,a
colhe,2,2,c,o,l,h,e
colhi,2,2,c,o,l,h,i
colho,2,1,c,o,l,h,o
colou,3,2,c,o,l,o,u
comam,2,2,c,o,m,a,m
comas,2,2,c,o,m,a,s
comei,3,3,c,o,m,e,i
comem,2,2,c,o,m,e,m
comer,2,2,c,o,m,e,r
comes,2,2,c,o,m,e,s
comeu,3,3,c,o,m,e,u
comia,3,3,c,o,m,i,a
compo,2,1,c,o,m,p,o
comum,2,2,c,o,m,u,m
conde,2,2,c,o,n,d,e
cones,2,2,c,o,n,e,s
conga,2,2,c,o,n,g,a
conta,2,2,c,o,n,t,a
conte,2,2,c,o,n,t,e
conto,2,1,c,o,n,t,o
copas,2,2,c,o,p,a,s
copia,3,3,c,o,p,i,a
copie,3,3,c,o,p,i,e
copio,3,2,c,o,p,i,o
copos,2,1,c,o,p,o,s
corai,3,3,c,o,r,a,i
coral,2,2,c,o,r,a,l
coram,2,2,c,o,r,a,m
corar,2,2,c,o,r,a,r
coras,2,2,c,o,r,a,s
corda,2,2,c,o,r,d,a
corei,3,3,c,o,r,e,i
corem,2,2,c,o,r,e,m
cores,2,2,c,o,r,e,s
corja,2,2,c,o,r,j,a
corno,2,1,c,o,r,n,o
coroa,3,2,c,o,r,o,a
coroe,3,2,c,o,r,o,e
coros,2,1,c,o,r,o,s
corou,3,2,c,o,r,o,u
corpo,2,1,c,o,r,p,o
corra,2,2,c,o,r,r,a
corre,2,2,c,o,r,r,e
corri,2,2,c,o,r,r,i
corro,2,1,c,o,r,r,o
corta,2,2,c,o,r,t,a
corte,2,2,c,o,r,t,e
corto,2,1,c,o,r,t,o
corvo,2,1,c,o,r,v,o
corca,2,2,c,o,r,c,a
coroo,3,1,c,o,r,o,o
cosam,2,2,c,o,s,a,m
cosas,2,2,c,o,s,a,s
cosei,3,3,c,o,s,e,i
cosem,2,2,c,o,s,e,m
coser,2,2,c,o,s,e,r
coses,2,2,c,o,s,e,s
coseu,3,3,c,o,s,e,u
cosia,3,3,c,o,s,i,a
cosmo,2,1,c,o,s,m,o
cospe,2,2,c,o,s,p,e
costa,2,2,c,o,s,t,a
cotai,3,3,c,o,t,a,i
cotam,2,2,c,o,t,a,m
cotar,2,2,c,o,t,a,r
cotas,2,2,c,o,t,a,s
cotei,3,3,c,o,t,e,i
cotem,2,2,c,o,t,e,m
cotes,2,2,c,o,t,e,s
cotou,3,2,c,o,t,o,u
coube,3,3,c,o,u,b,e
couro,3,2,c,o,u,r,o
couve,3,3,c,o,u,v,e
covas,2,2,c,o,v,a,s
coxas,2,2,c,o,x,a,s
coxim,2,2,c,o,x,i,m
coxos,2,1,c,o,x,o,s
cozam,2,2,c,o,z,a,m
cozas,2,2,c,o,z,a,s
cozei,3,3,c,o,z,e,i
cozem,2,2,c,o,z,e,m
cozer,2,2,c,o,z,e,r
cozes,2,2,c,o,z,e,s
cozeu,3,3,c,o,z,e,u
cozia,3,3,c,o,z,i,a
cocai,3,3,c,o,c,a,i
cocam,2,2,c,o,c,a,m
cocar,2,2,c,o,c,a,r
cocas,2,2,c,o,c,a,s
cocou,3,2,c,o,c,o,u
coiba,3,3,c,o,i,b,a
coibe,3,3,c,o,i,b,e
coibo,3,2,c,o,i,b,o
crava,2,1,c,r,a,v,a
crave,2,2,c,r,a,v,e
cravo,2,2,c,r,a,v,o
crede,2,1,c,r,e,d,e
credo,2,2,c,r,e,d,o
creia,3,3,c,r,e,i,a
creio,3,3,c,r,e,i,o
crema,2,2,c,r,e,m,a
creme,2,1,c,r,e,m,e
cremo,2,2,c,r,e,m,o
crera,2,2,c,r,e,r,a
criai,3,2,c,r,i,a,i
criam,2,2,c,r,i,a,m
criar,2,2,c,r,i,a,r
crias,2,2,c,r,i,a,s
crido,2,2,c,r,i,d,o
criei,3,2,c,r,i,e,i
criem,2,2,c,r,i,e,m
cries,2,2,c,r,i,e,s
crime,2,2,c,r,i,m,e
crina,2,2,c,r,i,n,a
criou,3,3,c,r,i,o,u
crise,2,2,c,r,i,s,e
criva,2,2,c,r,i,v,a
crive,2,2,c,r,i,v,e
crivo,2,2,c,r,i,v,o
croma,2,2,c,r,o,m,a
crome,2,2,c,r,o,m,e
cromo,2,1,c,r,o,m,o
cruas,2,2,c,r,u,a,s
cruel,2,2,c,r,u,e,l
cruza,2,2,c,r,u,z,a
cruze,2,2,c,r,u,z,e
cruzo,2,2,c,r,u,z,o
creem,2,1,c,r,e,e,m
cubas,2,2,c,u,b,a,s
cubos,2,2,c,u,b,o,s
cubra,2,2,c,u,b,r,a
cubro,2,2,c,u,b,r,o
cucas,2,2,c,u,c,a,s
cucos,2,2,c,u,c,o,s
cueca,3,3,c,u,e,c,a
cuias,3,3,c,u,i,a,s
cuida,3,3,c,u,i,d,a
cuide,3,3,c,u,i,d,e
cuido,3,3,c,u,i,d,o
cujas,2,2,c,u,j,a,s
cujos,2,2,c,u,j,o,s
cujus,2,1,c,u,j,u,s
culpa,2,2,c,u,l,p,a
culpe,2,2,c,u,l,p,e
culpo,2,2,c,u,l,p,o
culta,2,2,c,u,l,t,a
culto,2,2,c,u,l,t,o
cumes,2,2,c,u,m,e,s
cunha,2,2,c,u,n,h,a
cunhe,2,2,c,u,n,h,e
cunho,2,2,c,u,n,h,o
cupim,2,2,c,u,p,i,m
cupom,2,2,c,u,p,o,m
curai,3,3,c,u,r,a,i
curam,2,2,c,u,r,a,m
curar,2,2,c,u,r,a,r
curas,2,2,c,u,r,a,s
curei,3,3,c,u,r,e,i
curem,2,2,c,u,r,e,m
cures,2,2,c,u,r,e,s
curou,3,2,c,u,r,o,u
cursa,2,2,c,u,r,s,a
curse,2,2,c,u,r,s,e
curso,2,2,c,u,r,s,o
curta,2,2,c,u,r,t,a
curte,2,2,c,u,r,t,e
curti,2,2,c,u,r,t,i
curto,2,2,c,u,r,t,o
curva,2,2,c,u,r,v,a
curve,2,2,c,u,r,v,e
curvo,2,2,c,u,r,v,o
cuspa,2,2,c,u,s,p,a
cuspi,2,2,c,u,s,p,i
cuspo,2,2,c,u,s,p,o
custa,2,2,c,u,s,t,a
custe,2,2,c,u,s,t,e
custo,2,2,c,u,s,t,o
cuica,3,3,c,u,i,c,a
capua,3,2,c,a,p,u,a
celia,3,3,c,e,l,i,a
cesio,3,3,c,e,s,i,o
cilio,3,2,c,i,l,i,o
cirio,3,2,c,i,r,i,o
colon,2,1,c,o,l,o,n
codea,3,3,c,o,d,e,a
curia,3,3,c,u,r,i,a
cutis,2,2,c,u,t,i,s
dadas,2,1,d,a,d,a,s
dados,2,2,d,a,d,o,s
damas,2,1,d,a,m,a,s
damos,2,2,d,a,m,o,s
danai,3,2,d,a,n,a,i
danam,2,1,d,a,n,a,m
danar,2,1,d,a,n,a,r
danas,2,1,d,a,n,a,s
dance,2,2,d,a,n,c,e
dando,2,2,d,a,n,d,o
danei,3,3,d,a,n,e,i
danem,2,2,d,a,n,e,m
danes,2,2,d,a,n,e,s
danos,2,2,d,a,n,o,s
danou,3,3,d,a,n,o,u
dante,2,2,d,a,n,t,e
danca,2,1,d,a,n,c,a
danco,2,2,d,a,n,c,o
daqui,3,3,d,a,q,u,i
dardo,2,2,d,a,r,d,o
darei,3,3,d,a,r,e,i
darem,2,2,d,a,r,e,m
dares,2,2,d,a,r,e,s
daria,3,2,d,a,r,i,a
daras,2,1,d,a,r,a,s
darao,3,2,d,a,r,a,o
datai,3,2,d,a,t,a,i
datam,2,1,d,a,t,a,m
datar,2,1,d,a,t,a,r
datas,2,1,d,a,t,a,s
datei,3,3,d,a,t,e,i
datem,2,2,d,a,t,e,m
dates,2,2,d,a,t,e,s
datou,3,3,d,a,t,o,u
davam,2,1,d,a,v,a,m
davas,2,1,d,a,v,a,s
decai,3,3,d,e,c,a,i
dedal,2,2,d,e,d,a,l
dedos,2,2,d,e,d,o,s
deduz,2,2,d,e,d,u,z
dedao,3,3,d,e,d,a,o
deita,3,3,d,e,i,t,a
deite,3,2,d,e,i,t,e
deito,3,3,d,e,i,t,o
deixa,3,3,d,e,i,x,a
deixe,3,2,d,e,i,x,e
deixo,3,3,d,e,i,x,o
delas,2,2,d,e,l,a,s
deles,2,1,d,e,l,e,s
delta,2,2,d,e,l,t,a
demos,2,2,d,e,m,o,s
demao,3,3,d,e,m,a,o
densa,2,2,d,e,n,s,a
denso,2,2,d,e,n,s,o
dente,2,1,d,e,n,t,e
depor,2,2,d,e,p,o,r
depus,2,2,d,e,p,u,s
depos,2,2,d,e,p,o,s
depoe,3,2,d,e,p,o,e
deram,2,2,d,e,r,a,m
deras,2,2,d,e,r,a,s
derem,2,1,d,e,r,e,m
deres,2,1,d,e,r,e,s
dermo,2,2,d,e,r,m,o
desce,2,1,d,e,s,c,e
desci,2,2,d,e,s,c,i
desde,2,1,d,e,s,d,e
despe,2,1,d,e,s,p,e
despi,2,2,d,e,s,p,i
dessa,2,2,d,e,s,s,a
desse,2,1,d,e,s,s,e
desta,2,2,d,e,s,t,a
deste,2,1,d,e,s,t,e
desca,2,2,d,e,s,c,a
desco,2,2,d,e,s,c,o
deter,2,1,d,e,t,e,r
detem,2,1,d,e,t,e,m
deusa,3,3,d,e,u,s,a
devam,2,2,d,e,v,a,m
devas,2,2,d,e,v,a,s
devei,3,2,d,e,v,e,i
devem,2,1,d,e,v,e,m
dever,2,1,d,e,v,e,r
deves,2,1,d,e,v,e,s
deveu,3,2,d,e,v,e,u
devia,3,3,d,e,v,i,a
diabo,3,3,d,i,a,b,o
dicas,2,2,d,i,c,a,s
dieta,3,3,d,i,e,t,a
digam,2,2,d,i,g,a,m
digas,2,2,d,i,g,a,s
digna,2,2,d,i,g,n,a
digne,2,2,d,i,g,n,e
digno,2,2,d,i,g,n,o
dilua,3,3,d,i,l,u,a
dilui,3,2,d,i,l,u,i
diluo,3,3,d,i,l,u,o
diodo,3,2,d,i,o,d,o
dique,3,3,d,i,q,u,e
direi,3,2,d,i,r,e,i
diria,3,2,d,i,r,i,a
diras,2,2,d,i,r,a,s
dirao,3,3,d,i,r,a,o
disca,2,2,d,i,s,c,a
disco,2,2,d,i,s,c,o
dispo,2,2,d,i,s,p,o
disse,2,2,d,i,s,s,e
disso,2,2,d,i,s,s,o
dista,2,2,d,i,s,t,a
diste,2,2,d,i,s,t,e
disto,2,2,d,i,s,t,o
ditai,3,2,d,i,t,a,i
ditam,2,2,d,i,t,a,m
ditar,2,2,d,i,t,a,r
ditas,2,2,d,i,t,a,s
ditei,3,2,d,i,t,e,i
ditem,2,2,d,i,t,e,m
dites,2,2,d,i,t,e,s
ditos,2,2,d,i,t,o,s
ditou,3,3,d,i,t,o,u
divas,2,2,d,i,v,a,s
dizei,3,2,d,i,z,e,i
dizem,2,2,d,i,z,e,m
dizer,2,2,d,i,z,e,r
dizes,2,2,d,i,z,e,s
